,freq
2016-04-01,13
2016-03-31,10
2016-03-30,13
2016-03-29,15
2016-03-28,13
2016-03-27,3
2016-03-26,8
2016-03-25,11
2016-03-24,14
2016-03-23,3
2016-03-22,25
2016-03-21,11
2016-03-20,4
2016-03-19,13
2016-03-18,14
2016-03-17,17
2016-03-16,15
2016-03-15,6
2016-03-14,8
2016-03-13,4
2016-03-12,18
2016-03-11,14
2016-03-10,9
2016-03-09,12
2016-03-08,16
2016-03-07,8
2016-03-06,11
2016-03-05,21
2016-03-04,16
2016-03-03,19
2016-03-02,11
2016-03-01,7
2016-02-29,10
2016-02-28,7
2016-02-27,21
2016-02-26,16
2016-02-25,12
2016-02-24,14
2016-02-23,8
2016-02-22,8
2016-02-21,6
2016-02-20,14
2016-02-19,25
2016-02-18,9
2016-02-17,12
2016-02-16,6
2016-02-15,14
2016-02-14,9
2016-02-13,6
2016-02-12,14
2016-02-11,15
2016-02-10,28
2016-02-09,19
2016-02-08,17
2016-02-07,10
2016-02-06,11
2016-02-05,10
2016-02-04,20
2016-02-03,10
2016-02-02,5
2016-02-01,9
2016-01-31,15
2016-01-30,12
2016-01-29,9
2016-01-28,11
2016-01-27,24
2016-01-26,4
2016-01-25,14
2016-01-24,9
2016-01-23,9
2016-01-22,16
2016-01-21,19
2016-01-20,16
2016-01-19,12
2016-01-18,23
2016-01-17,12
2016-01-16,7
2016-01-15,13
2016-01-14,29
2016-01-13,23
2016-01-12,353
2016-01-11,69
2016-01-10,14
2016-01-09,1043
2016-01-08,2940
2016-01-07,236
2016-01-06,347
2016-01-05,20
2016-01-04,6
2016-01-03,4
2016-01-02,8
2016-01-01,3
2015-12-31,1
2015-12-30,2
2015-12-29,15
2015-12-28,5
2015-12-27,2
2015-12-26,4
2015-12-25,1
2015-12-24,3
2015-12-23,3
2015-12-22,4
2015-12-21,3
2015-12-20,5
2015-12-19,4
2015-12-18,5
2015-12-17,17
2015-12-16,8
2015-12-15,8
2015-12-14,2
2015-12-13,6
2015-12-12,2
2015-12-11,4
2015-12-10,30
2015-12-09,6
2015-12-08,8
2015-12-07,4
2015-12-06,3
2015-12-05,1
2015-12-04,7
2015-12-03,17
2015-12-02,7
2015-12-01,4
2015-11-30,6
2015-11-29,2
2015-11-28,2
2015-11-27,3
2015-11-26,14
2015-11-25,1
2015-11-24,1
2015-11-23,7
2015-11-22,4
2015-11-21,1
2015-11-20,6
2015-11-19,12
2015-11-18,3
2015-11-17,4
2015-11-16,2
2015-11-15,2
2015-11-14,3
2015-11-13,9
2015-11-12,13
2015-11-11,11
2015-11-10,8
2015-11-09,4
2015-11-08,3
2015-11-07,3
2015-11-06,3
2015-11-05,10
2015-11-04,11
2015-11-03,4
2015-11-02,13
2015-11-01,1
2015-10-31,1
2015-10-30,6
2015-10-29,7
2015-10-28,3
2015-10-27,11
2015-10-26,4
2015-10-25,1
2015-10-24,3
2015-10-23,11
2015-10-22,16
2015-10-21,13
2015-10-20,20
2015-10-19,9
2015-10-18,6
2015-10-16,4
2015-10-15,10
2015-10-14,4
2015-10-13,5
2015-10-12,16
2015-10-11,4
2015-10-10,8
2015-10-09,5
2015-10-08,4
2015-10-07,16
2015-10-06,10
2015-10-04,2
2015-10-03,1
2015-10-02,11
2015-10-01,12
2015-09-30,4
2015-09-29,5
2015-09-28,4
2015-09-27,2
2015-09-26,2
2015-09-25,11
2015-09-24,6
2015-09-23,13
2015-09-22,4
2015-09-21,26
2015-09-20,3
2015-09-19,5
2015-09-18,10
2015-09-17,13
2015-09-16,11
2015-09-15,22
2015-09-14,24
2015-09-13,2
2015-09-12,6
2015-09-11,10
2015-09-10,14
2015-09-09,14
2015-09-08,5
2015-09-07,6
2015-09-06,11
2015-09-05,6
2015-09-04,4
2015-09-03,20
2015-09-02,12
2015-09-01,10
2015-08-31,7
2015-08-30,9
2015-08-29,9
2015-08-28,9
2015-08-27,30
2015-08-26,18
2015-08-25,5
2015-08-24,12
2015-08-23,7
2015-08-22,5
2015-08-21,6
2015-08-20,20
2015-08-19,18
2015-08-18,6
2015-08-17,7
2015-08-16,9
2015-08-15,8
2015-08-14,4
2015-08-13,27
2015-08-12,12
2015-08-11,13
2015-08-10,16
2015-08-09,11
2015-08-08,5
2015-08-07,31
2015-08-06,26
2015-08-05,9
2015-08-04,8
2015-08-03,18
2015-08-02,5
2015-08-01,3
2015-07-31,11
2015-07-30,37
2015-07-29,379
2015-07-28,893
2015-07-27,261
2015-07-26,4
2015-07-25,49
2015-07-24,166
2015-07-23,16
2015-07-22,10
2015-07-21,95
2015-07-20,24
2015-07-19,2
2015-07-17,2
2015-07-16,12
2015-07-15,4
2015-07-14,13
2015-07-13,17
2015-07-12,2
2015-07-11,6
2015-07-10,7
2015-07-09,17
2015-07-08,13
2015-07-07,7
2015-07-06,11
2015-07-05,5
2015-07-04,7
2015-07-03,1
2015-07-02,8
2015-07-01,3
2015-06-30,6
2015-06-29,5
2015-06-28,3
2015-06-27,6
2015-06-26,3
2015-06-25,10
2015-06-24,5
2015-06-23,4
2015-06-22,4
2015-06-21,2
2015-06-20,3
2015-06-18,7
2015-06-17,7
2015-06-16,2
2015-06-15,7
2015-06-14,1
2015-06-13,3
2015-06-12,4
2015-06-11,5
2015-06-10,9
2015-06-09,9
2015-06-08,9
2015-06-06,6
2015-06-05,2
2015-06-04,10
2015-06-03,5
2015-06-02,15
2015-06-01,6
2015-05-31,4
2015-05-30,3
2015-05-29,5
2015-05-28,13
2015-05-27,7
2015-05-26,33
2015-05-25,1
2015-05-24,1
2015-05-23,2
2015-05-22,2
2015-05-21,23
2015-05-20,10
2015-05-19,11
2015-05-18,9
2015-05-17,3
2015-05-16,1
2015-05-15,2
2015-05-14,17
2015-05-13,4
2015-05-12,4
2015-05-11,5
2015-05-10,1
2015-05-09,5
2015-05-08,5
2015-05-07,6
2015-05-06,6
2015-05-05,10
2015-05-04,1
2015-05-02,1
2015-05-01,2
2015-04-30,17
2015-04-29,4
2015-04-28,3
2015-04-27,5
2015-04-26,1
2015-04-25,2
2015-04-23,10
2015-04-22,8
2015-04-21,3
2015-04-20,9
2015-04-19,7
2015-04-18,2
2015-04-17,4
2015-04-15,3
2015-04-14,3
2015-04-12,1
2015-04-10,4
2015-04-09,18
2015-04-08,4
2015-04-07,2
2015-04-06,1
2015-04-04,2
2015-04-03,1
2015-04-02,11
2015-04-01,1
2015-03-31,1
2015-03-30,8
2015-03-29,2
2015-03-28,3
2015-03-27,2
2015-03-26,9
2015-03-25,5
2015-03-23,2
2015-03-22,1
2015-03-21,1
2015-03-19,3
2015-03-18,2
2015-03-16,5
2015-03-15,3
2015-03-14,1
2015-03-12,5
2015-03-11,8
2015-03-09,1
2015-03-07,1
2015-03-06,3
2015-03-05,2
2015-03-04,7
2015-03-03,14
2015-03-01,5
2015-02-28,2
2015-02-27,1
2015-02-26,15
2015-02-25,5
2015-02-24,6
2015-02-23,3
2015-02-21,3
2015-02-20,2
2015-02-19,6
2015-02-18,1
2015-02-17,2
2015-02-16,3
2015-02-15,2
2015-02-14,1
2015-02-13,2
2015-02-12,7
2015-02-11,8
2015-02-10,7
2015-02-09,5
2015-02-08,1
2015-02-07,1
2015-02-06,10
2015-02-05,20
2015-02-04,3
2015-02-03,4
2015-02-02,5
2015-02-01,1
2015-01-30,1
2015-01-29,7
2015-01-28,5
2015-01-27,3
2015-01-26,3
2015-01-24,2
2015-01-23,3
2015-01-22,2
2015-01-21,3
2015-01-19,2
2015-01-18,2
2015-01-15,1
2015-01-14,2
2015-01-13,3
2015-01-11,3
2015-01-10,3
2015-01-09,5
2015-01-08,13
2015-01-07,2
2015-01-06,3
2015-01-05,2
2015-01-04,4
2015-01-01,8
2014-12-31,2
2014-12-30,1
2014-12-29,5
2014-12-28,1
2014-12-27,2
2014-12-26,1
2014-12-25,2
2014-12-24,1
2014-12-23,4
2014-12-22,3
2014-12-20,3
2014-12-19,2
2014-12-18,5
2014-12-17,14
2014-12-16,7
2014-12-15,4
2014-12-14,2
2014-12-12,2
2014-12-11,4
2014-12-10,4
2014-12-09,3
2014-12-08,8
2014-12-07,4
2014-12-06,2
2014-12-05,3
2014-12-04,6
2014-12-03,5
2014-12-02,1
2014-11-20,1
2014-11-12,1
2014-11-05,1
2014-10-28,1
2014-10-18,1
2014-09-19,1
2014-08-29,1
2014-08-19,1
2014-08-13,1
2014-08-06,1
2014-07-22,1
2014-06-12,1
2014-05-24,1
2014-05-06,1
2014-04-08,1
